PC1	PC4	PC23
DNA packaging	chromatin assembly	regulation of type 2 immune response
chromatin assembly or disassembly	DNA packaging	type 2 immune response
nucleosome assembly	nucleosome assembly	T-helper 2 cell differentiation
chromatin assembly	chromatin assembly or disassembly	reproduction
DNA conformation change	calcium-dependent cell-matrix adhesion	reproductive process
'de novo' IMP biosynthetic process	DNA conformation change	multicellular organism reproduction
positive regulation of transforming growth factor beta receptor signaling pathway	retinal rod cell development	multi-organism reproductive process
positive regulation of cellular response to transforming growth factor beta stimulus	negative regulation of ATPase activity	oocyte axis specification
nucleosome organization	minus-end-directed organelle transport along microtubule	cytokine secretion
pigment biosynthetic process	zinc ion homeostasis	oocyte construction
